Final P(correct) Mean,Final P(zero) Mean,TrainingReturns Std,PolicyOutput_1 Mean,Rewards Std,Ys Max,Final P(correct) Min,Ys Std,TargetPolicyOutput_0 Max,Ys Min,Final P(zero) Max,QfOutput Min,TargetQfOutput Std,TargetQfOutput Min,PolicyOutput_0 Mean,DiscountedReturns Mean,TargetQfOutput Mean,Ys Mean,Rewards Min,TargetPolicyOutput_1 Mean,QfOutput Std,Rewards Mean,TargetPolicyOutput_0 Mean,PolicyOutput_1 Max,PolicyOutput_1 Std,TrainingReturns Mean,TargetPolicyOutput_1 Std,QfOutput Mean,Returns Std,PolicyOutput_0 Std,TargetPolicyOutput_0 Min,QfOutput Max,QfLoss,Rewards Max,AverageReturn,DiscountedReturns Std,PolicyOutput_0 Min,Final P(zero) Min,DiscountedReturns Min,TargetPolicyOutput_1 Min,Returns Mean,TargetQfOutput Max,Returns Min,Final P(correct) Max,TrainingReturns Max,Epoch,Returns Max,TrainingReturns Min,PolicyOutput_1 Min,TargetPolicyOutput_0 Std,PolicySurrogateLoss,TargetPolicyOutput_1 Max,Final P(correct) Std,PolicyOutput_0 Max,Final P(zero) Std,DiscountedReturns Max
0.131376,-0.128947,0.000928328292972,0.394227,0.0,-0.0148444,0.131376,0.0,0.0,-0.0148444,-0.128947,-0.0218387,7.45058e-09,-0.0772954,0.00121485,-0.014844417572,-0.0772954,-0.0148444,-0.014844417572,0.0,1.86265e-09,-0.014844417572,0.0,0.918007,0.52378,-0.0164481556416,0.0,-0.0218387,0.0,0.130162,0.0,-0.0218387,4.89201e-05,-0.014844417572,-0.014844417572,0.0,-0.128947,-0.128947,-0.014844417572,0.0,-0.014844417572,-0.0772954,-0.014844417572,0.131376,-0.0148681402206,10,-0.014844417572,-0.0181250572205,-0.129553,0.0,0.0218387,0.0,1.49012e-08,0.131376,2.98023e-08,-0.014844417572
0.131433,-0.129,4.46238982991e-05,0.394186,0.0,-0.0146289,0.131433,0.0,0.0,-0.0146289,-0.129,-0.0201684,7.45058e-09,-0.0758003,0.00121632,-0.0146288871765,-0.0758003,-0.0146289,-0.0146288871765,0.0,1.86265e-09,-0.0146288871765,0.0,0.917978,0.523792,-0.0146504688263,0.0,-0.0201684,0.0,0.130217,0.0,-0.0201684,3.06861e-05,-0.0146288871765,-0.0146288871765,0.0,-0.129,-0.129,-0.0146288871765,0.0,-0.0146288871765,-0.0758003,-0.0146288871765,0.131433,-0.0146288871765,11,-0.0146288871765,-0.014844417572,-0.129606,0.0,0.0201684,0.0,1.49012e-08,0.131433,2.98023e-08,-0.0146288871765
0.131433,-0.129,0.0,0.394186,0.0,-0.0146289,0.131433,0.0,0.0,-0.0146289,-0.129,-0.018011,1.49012e-08,-0.0741328,0.00121632,-0.0146288871765,-0.0741328,-0.0146289,-0.0146288871765,0.0,0.0,-0.0146288871765,0.0,0.917978,0.523792,-0.0146288871765,0.0,-0.018011,0.0,0.130217,0.0,-0.018011,1.14384e-05,-0.0146288871765,-0.0146288871765,0.0,-0.129,-0.129,-0.0146288871765,0.0,-0.0146288871765,-0.0741328,-0.0146288871765,0.131433,-0.0146288871765,12,-0.0146288871765,-0.0146288871765,-0.129606,0.0,0.018011,0.0,1.49012e-08,0.131433,2.98023e-08,-0.0146288871765
0.131433,-0.129,0.0,0.394186,0.0,-0.0146289,0.131433,0.0,0.0,-0.0146289,-0.129,-0.016265,7.45058e-09,-0.0724312,0.00121632,-0.0146288871765,-0.0724312,-0.0146289,-0.0146288871765,0.0,1.86265e-09,-0.0146288871765,0.0,0.917978,0.523792,-0.0146288871765,0.0,-0.016265,0.0,0.130217,0.0,-0.016265,2.67674e-06,-0.0146288871765,-0.0146288871765,0.0,-0.129,-0.129,-0.0146288871765,0.0,-0.0146288871765,-0.0724312,-0.0146288871765,0.131433,-0.0146288871765,13,-0.0146288871765,-0.0146288871765,-0.129606,0.0,0.016265,0.0,1.49012e-08,0.131433,2.98023e-08,-0.0146288871765
0.131433,-0.129,0.0,0.394186,0.0,-0.0146289,0.131433,0.0,0.0,-0.0146289,-0.129,-0.0152315,0.0,-0.071065,0.00121632,-0.0146288871765,-0.071065,-0.0146289,-0.0146288871765,0.0,9.31323e-10,-0.0146288871765,0.0,0.917978,0.523792,-0.0146288871765,0.0,-0.0152315,0.0,0.130217,0.0,-0.0152315,3.63102e-07,-0.0146288871765,-0.0146288871765,0.0,-0.129,-0.129,-0.0146288871765,0.0,-0.0146288871765,-0.071065,-0.0146288871765,0.131433,-0.0146288871765,14,-0.0146288871765,-0.0146288871765,-0.129606,0.0,0.0152315,0.0,1.49012e-08,0.131433,2.98023e-08,-0.0146288871765
0.131433,-0.129,0.0,0.394186,0.0,-0.0146289,0.131433,0.0,0.0,-0.0146289,-0.129,-0.0147797,7.45058e-09,-0.0701762,0.00121632,-0.0146288871765,-0.0701762,-0.0146289,-0.0146288871765,0.0,0.0,-0.0146288871765,0.0,0.917978,0.523792,-0.0146288871765,0.0,-0.0147797,0.0,0.130217,0.0,-0.0147797,2.27358e-08,-0.0146288871765,-0.0146288871765,0.0,-0.129,-0.129,-0.0146288871765,0.0,-0.0146288871765,-0.0701762,-0.0146288871765,0.131433,-0.0146288871765,15,-0.0146288871765,-0.0146288871765,-0.129606,0.0,0.0147797,0.0,1.49012e-08,0.131433,2.98023e-08,-0.0146288871765
0.131433,-0.129,0.0,0.394186,0.0,-0.0146289,0.131433,0.0,0.0,-0.0146289,-0.129,-0.0146549,7.45058e-09,-0.0697059,0.00121632,-0.0146288871765,-0.0697059,-0.0146289,-0.0146288871765,0.0,9.31323e-10,-0.0146288871765,0.0,0.917978,0.523792,-0.0146288871765,0.0,-0.0146549,0.0,0.130217,0.0,-0.0146549,6.7681e-10,-0.0146288871765,-0.0146288871765,0.0,-0.129,-0.129,-0.0146288871765,0.0,-0.0146288871765,-0.0697059,-0.0146288871765,0.131433,-0.0146288871765,16,-0.0146288871765,-0.0146288871765,-0.129606,0.0,0.0146549,0.0,1.49012e-08,0.131433,2.98023e-08,-0.0146288871765
0.131433,-0.129,0.0,0.394186,0.0,-0.0146289,0.131433,0.0,0.0,-0.0146289,-0.129,-0.0146327,0.0,-0.0695,0.00121632,-0.0146288871765,-0.0695,-0.0146289,-0.0146288871765,0.0,1.86265e-09,-0.0146288871765,0.0,0.917978,0.523792,-0.0146288871765,0.0,-0.0146327,0.0,0.130217,0.0,-0.0146327,1.43819e-11,-0.0146288871765,-0.0146288871765,0.0,-0.129,-0.129,-0.0146288871765,0.0,-0.0146288871765,-0.0695,-0.0146288871765,0.131433,-0.0146288871765,17,-0.0146288871765,-0.0146288871765,-0.129606,0.0,0.0146327,0.0,1.49012e-08,0.131433,2.98023e-08,-0.0146288871765
0.131433,-0.129,0.0,0.394186,0.0,-0.0146289,0.131433,0.0,0.0,-0.0146289,-0.129,-0.0146294,0.0,-0.0694191,0.00121632,-0.0146288871765,-0.0694191,-0.0146289,-0.0146288871765,0.0,9.31323e-10,-0.0146288871765,0.0,0.917978,0.523792,-0.0146288871765,0.0,-0.0146294,0.0,0.130217,0.0,-0.0146294,2.22954e-13,-0.0146288871765,-0.0146288871765,0.0,-0.129,-0.129,-0.0146288871765,0.0,-0.0146288871765,-0.0694191,-0.0146288871765,0.131433,-0.0146288871765,18,-0.0146288871765,-0.0146288871765,-0.129606,0.0,0.0146294,0.0,1.49012e-08,0.131433,2.98023e-08,-0.0146288871765
0.131433,-0.129,0.0,0.394186,0.0,-0.0146289,0.131433,0.0,0.0,-0.0146289,-0.129,-0.0146289,1.49012e-08,-0.0693887,0.00121632,-0.0146288871765,-0.0693887,-0.0146289,-0.0146288871765,0.0,2.79397e-09,-0.0146288871765,0.0,0.917978,0.523792,-0.0146288871765,0.0,-0.0146289,0.0,0.130217,0.0,-0.0146289,2.52923e-15,-0.0146288871765,-0.0146288871765,0.0,-0.129,-0.129,-0.0146288871765,0.0,-0.0146288871765,-0.0693887,-0.0146288871765,0.131433,-0.0146288871765,19,-0.0146288871765,-0.0146288871765,-0.129606,0.0,0.0146289,0.0,1.49012e-08,0.131433,2.98023e-08,-0.0146288871765
